State,County,State_County,Premature_death,Percentage_Fair_or_Poor_Health,Average_Number_of_Physically_Unhealthy_Days,Average_Number_of_Mentally_Unhealthy_Days,Percentage_Low_birthweight,Percentage_Smokers,Percentage_Adults_with_Obesity,Food_Environment_Index,Percentage_Physically_Inactive,Percentage_With_Access_to_Exercise_Opportunities,Alcohol_impaired_driving_deaths,Sexually_transmitted_infections_Chlamydia_Cases,Teen_Birth_Rate,Uninsured,Primary_care_physicians,Dentists,Mental_health_providers,Preventable_Hospitalization_Rate,Percentage_With_Annual_Mammogram,Percentage_Vaccinated,High_school_completion,Some_college,Unemployment,Percentage_Children_in_Poverty,Income_inequality_80th_Percentile_Income,Children_in_single-parent_households,Social_associations,Annual_Average_Violent_Crimes,Injury_deaths,Air_pollution_particulate_matter_Average_Daily_PM,Percentage_Severe_Housing_Problems,Percentage_Drive_Alone_to_Work,Workers_Drive_Alone_to_Work
Alabama,Autauga,Alabama_Autauga,836,20,4.5,5.4,10,20,35,6.5,32,63,18,323,23,4366,25,19,21,4931,42,42,33587,8733,1262,15,109878,3628,72,149,191,9.5,15,87,24949
Alabama,Baldwin,Alabama_Baldwin,3377,17,4.2,5.2,8,20,30,7.4,28,75,57,750,24,19085,154,112,228,3578,44,46,140740,33289,5425,12,120479,8613,226,408,817,7.2,12,83,97098
Alabama,Barbour,Alabama_Barbour,539,31,5.9,6.1,12,28,40,5.7,42,50,12,221,35,2194,9,9,6,4548,46,36,13300,2566,605,38,79175,2822,18,106,103,9,15,84,8555
Alabama,Bibb,Alabama_Bibb,460,25,5.2,5.8,10,25,41,7.6,38,11,6,121,34,1824,13,6,6,6329,37,33,12931,2392,573,22,87594,1666,20,20,116,9.4,11,88,8107
Alabama,Blount,Alabama_Blount,1143,23,4.9,5.7,8,22,39,7.8,33,23,14,234,30,6663,13,11,10,4260,37,40,32976,7843,1008,19,100031,3012,43,279,303,9.4,10,88,22636
Alabama,Bullock,Alabama_Bullock,203,31,5.5,5.7,15,25,44,4.6,41,2,8,75,40,752,3,2,2,3775,41,28,5084,640,265,39,88821,1333,8,33,50,9,17,80,3985
Alabama,Butler,Alabama_Butler,441,27,5.3,6,13,25,40,6.9,41,42,19,207,39,1755,5,7,13,5885,39,28,11934,1777,801,31,98464,1809,18,117,104,8.8,13,86,7894
Alabama,Calhoun,Alabama_Calhoun,2476,24,4.9,5.7,9,23,36,5.9,33,49,16,829,30,10767,70,77,161,5234,35,39,67180,16656,3260,17,97379,7621,152,871,528,9.4,13,85,47349
Alabama,Chambers,Alabama_Chambers,686,25,5.1,5.8,13,24,40,7,37,57,12,240,37,3178,15,7,1,4068,37,43,19631,4310,1078,26,86774,2205,60,181,169,9.3,15,87,14187
Alabama,Cherokee,Alabama_Cherokee,600,24,5.2,6,8,25,34,7.2,36,25,8,72,33,2580,10,4,6,5476,40,49,15855,2890,530,23,87087,1021,22,86,128,9.2,11,86,10206
Alabama,Chilton,Alabama_Chilton,848,25,5.2,5.9,9,24,39,7,35,40,15,150,43,4995,10,13,27,4755,41,42,24668,4813,974,21,93180,2723,66,223,195,9.5,15,86,17573
Alabama,Choctaw,Alabama_Choctaw,272,27,5.4,6.1,12,25,40,5.8,38,24,12,63,30,1158,5,6,1,3292,50,33,7660,1712,308,29,88929,1119,27,17,62,9.2,12,86,4338
Alabama,Clarke,Alabama_Clarke,536,28,5.4,6,13,25,44,5.4,40,33,14,184,38,2209,11,8,21,4617,35,28,13799,2314,700,29,91216,1862,38,116,118,9.2,13,89,8056
Alabama,Clay,Alabama_Clay,285,27,5.5,6.2,8,26,37,7.3,37,57,9,74,34,1480,5,2,2,4703,39,41,7615,1096,245,24,91273,689,15,42,69,7,10,89,5285
Alabama,Cleburne,Alabama_Cleburne,301,23,5.1,5.9,8,24,36,7.1,34,41,8,35,31,1506,3,77.17398427,8,5732,27,40,8661,1728,262,20,89653,590,13,16,83,9,11,86,5697
Alabama,Coffee,Alabama_Coffee,895,22,4.6,5.4,9,21,35,6.9,33,55,16,334,26,5604,25,18,46,4515,43,35,30778,8583,944,21,109562,3705,68,142,184,8.6,10,86,22423
Alabama,Colbert,Alabama_Colbert,1138,22,4.8,5.7,11,22,36,6.7,33,43,19,322,30,4721,34,29,24,6652,39,47,33487,7267,1550,21,89389,3692,90,218,212,7.5,12,87,23216
Alabama,Conecuh,Alabama_Conecuh,335,28,5.4,6,14,25,41,6.4,40,36,4,72,31,1112,5,2,7,11154,37,43,7498,1232,331,35,76083,1297,9,48,65,8.8,10,88,3951
Alabama,Coosa,Alabama_Coosa,253,25,5.1,5.8,15,24,39,7.1,35,4,9,90,33,891,84.03515233,77.17398427,2,3364,36,41,6887,1043,242,29,86981,584,11,27,60,9.2,10,79,4077
Alabama,Covington,Alabama_Covington,899,24,5.1,5.9,11,25,37,6.8,36,55,10,160,40,3608,17,14,28,8809,42,39,22502,4356,738,23,88070,2181,41,125,166,8.6,12,88,14696
Alabama,Crenshaw,Alabama_Crenshaw,337,25,5.1,5.9,11,24,36,6.5,36,21,9,110,32,1471,2,3,9,5496,40,35,7633,1611,357,26,90947,1074,14,45,66,8.7,9,78,5622
Alabama,Cullman,Alabama_Cullman,1654,22,4.9,5.8,9,23,33,7.4,34,45,34,192,37,9008,50,41,128,5447,46,43,47782,11204,1650,17,92153,3507,89,106,407,9.3,12,87,34837
Alabama,Dale,Alabama_Dale,873,23,4.9,5.6,8,22,38,6.5,33,27,11,279,32,4777,12,16,52,4944,43,40,28599,7657,1009,26,91209,3406,56,214,200,8.6,14,83,19546
Alabama,Dallas,Alabama_Dallas,934,29,5.6,6,14,24,47,6.2,41,56,22,348,35,3263,28,12,23,6769,43,38,21500,4742,1570,42,73129,5867,48,380,221,9.1,18,89,13697
Alabama,DeKalb,Alabama_DeKalb,1356,27,5.6,6,8,25,35,7.446606626,41,39,24,214,35,10814,32,20,21,4613,34,42,37691,8831,1388,20,84462,3557,62,196,368,7.1,12,84,29794
Alabama,Elmore,Alabama_Elmore,1345,21,4.4,5.4,9,20,36,7.6,33,45,22,456,24,5781,19,13,21,4897,46,39,49420,12093,1777,17,115691,4178,91,195,310,9.6,11,86,34897
Alabama,Escambia,Alabama_Escambia,839,28,5.5,6,10,25,39,6.8,39,40,16,253,42,3875,12,14,30,6708,37,36,20653,3662,864,26,72416,3476,52,169,216,8.9,11,91,12374
Alabama,Etowah,Alabama_Etowah,2329,23,4.9,5.8,9,24,35,6.2,34,45,13,623,38,10281,83,52,135,5156,29,38,61597,14027,3126,23,91735,7507,155,619,493,7.7,10,88,42147
Alabama,Fayette,Alabama_Fayette,365,25,5.3,6.1,10,25,37,7.1,35,26,5,70,36,1508,16,5,2,4470,39,48,9743,1806,326,24,86378,1006,13,408.619451,77,8.9,11,82,6354
Alabama,Franklin,Alabama_Franklin,585,26,5.2,5.7,10,23,38,7.1,37,52,6,120,44,3952,14,8,1,7638,35,38,16578,3343,638,23,83670,2572,23,83,138,8.5,10,83,12911
Alabama,Geneva,Alabama_Geneva,601,25,5.3,6.1,8,25,36,6.6,35,23,9,108,40,3009,8,2,6,4727,40,43,15289,2809,444,32,85950,1573,26,111,112,8.4,12,86,10391
Alabama,Greene,Alabama_Greene,210,36,6.3,6.4,16,28,47,4.2,46,4,15,94,46,708,4,77.17398427,1,5988,34,25,4668,872,328,44,54838,1236,8,55,35,9.1,18,73,2270
Alabama,Hale,Alabama_Hale,340,29,5.5,6,12,26,44,6.8,40,26,10,172,34,1335,3,2,4,6246,38,33,8085,1650,572,30,80542,1747,10,29,69,9.2,15,91,5185
Alabama,Henry,Alabama_Henry,343,23,4.9,5.7,11,23,39,7.2,35,24,4,101,28,1632,5,5,4,3397,48,37,9829,1918,327,24,98545,837,22,34,72,8.5,9,86,6801
Alabama,Houston,Alabama_Houston,1736,23,4.9,5.7,11,22,40,7.2,36,71,30,734,33,11329,90,71,170,4361,44,45,63299,15657,2497,23,102000,7942,124,508,377,7.6,13,88,44153
Alabama,Jackson,Alabama_Jackson,1226,24,5.3,6.1,9,24,39,6.8,36,34,17,133,31,5584,28,19,29,4751,47,43,30966,6097,1203,23,86549,2735,48,163,245,8.7,11,86,19369
Alabama,Jefferson,Alabama_Jefferson,11877,19,4.4,5.2,11,18,34,6.8,30,73,63,5918,25,57398,739,594,1379,4303,45,46,407389,124466,19675,20,115667,54536,953,5623,3551,10.2,16,82,297059
Alabama,Lamar,Alabama_Lamar,274,25,5.4,6.1,9,25,36,7.1,37,7,5,51,37,1257,84.03515233,3,2,4035,39,42,8138,1500,278,21,90845,845,10,23,70,9,9,90,5135
Alabama,Lauderdale,Alabama_Lauderdale,1624,21,4.7,5.6,10,21,33,7.2,30,52,14,455,20,8571,51,52,153,4202,41,51,56793,12469,2321,20,95086,4722,129,248,372,8.5,12,86,40603
Alabama,Lawrence,Alabama_Lawrence,759,25,5.3,6.1,9,26,36,6.8,35,47,10,99,35,3906,5,3,43,6436,41,37,18904,4143,703,22,96064,1693,38,84,170,8.7,10,89,12880
Alabama,Lee,Alabama_Lee,1915,20,4.5,5.3,9,18,34,6.8,29,64,28,738,15,14928,80,53,178,3411,36,45,89746,31806,3935,17,111631,9271,144,652,521,9.6,19,83,74480
Alabama,Limestone,Alabama_Limestone,1429,21,4.5,5.4,9,21,34,7.4,31,55,30,338,22,9428,36,28,51,4999,44,48,57962,15779,1900,14,119634,4000,81,147,292,8.8,11,89,41872
Alabama,Lowndes,Alabama_Lowndes,267,32,5.7,6.1,15,26,46,5.1,43,1,9,90,30,826,1,77.17398427,316.050034,5014,49,37,5665,948,488,38,74323,1154,6,56,63,8.9,17,86,3522
Alabama,Macon,Alabama_Macon,476,28,5.3,5.7,13,23,40,5.6,39,34,16,222,21,1349,7,5,75,4892,35,33,9971,1993,773,39,77276,1655,13,138,102,9.4,18,85,6910
Alabama,Madison,Alabama_Madison,5088,18,4,4.9,10,16,33,7.4,28,68,72,2845,18,28344,333,207,613,4296,48,45,231504,72447,8668,14,137838,21482,403,2155,1352,7.5,12,85,180009
Alabama,Marengo,Alabama_Marengo,457,27,5.3,5.8,12,24,44,6.1,40,42,8,148,25,1651,7,5,6,4241,42,37,11129,2089,485,30,84178,2221,31,88,95,9.2,14,86,6840
Alabama,Marion,Alabama_Marion,710,24,5.3,6.1,9,24,36,7,34,40,8,88,39,2816,8,5,5,6674,37,37,17271,3819,661,24,78668,1361,27,89,127,8.7,12,87,11465
Alabama,Marshall,Alabama_Marshall,1855,25,5.1,5.7,8,22,38,6.5,36,50,18,326,45,12136,57,35,261,4199,39,49,53596,12458,1845,25,98484,6434,95,272,420,9.1,14,86,39287
Alabama,Mobile,Alabama_Mobile,7719,23,4.8,5.6,12,21,36,6.8,32,62,122,3351,31,42767,284,211,441,5809,36,42,244268,63704,15121,27,100284,34793,463,2273,1781,8.1,16,86,173223
Alabama,Monroe,Alabama_Monroe,458,28,5.5,6.1,12,25,41,5.8,41,41,6,117,34,2083,9,5,22,4427,38,38,12262,1611,610,30,80160,2019,26,105,102,9,10,91,6668
Alabama,Montgomery,Alabama_Montgomery,3676,23,4.6,5.3,13,20,38,6.8,32,59,51,2569,35,21123,233,177,394,4723,46,38,131646,39851,8368,28,104379,23278,337,1200,828,8.5,18,83,98925
Alabama,Morgan,Alabama_Morgan,2250,22,4.7,5.5,9,21,35,7.1,31,56,18,474,35,12379,61,61,193,5105,43,45,69492,15892,2634,20,104107,6583,145,216,533,7.4,12,89,51032
Alabama,Perry,Alabama_Perry,222,32,6,6.2,14,25,46,4.1,43,52,7,73,22,776,3,2,5,5569,41,27,4484,712,373,44,50784,1287,9,22,43,9,19,80,2350
Alabama,Pickens,Alabama_Pickens,408,28,5.3,5.8,13,23,40,7.2,38,4,5,122,32,1755,8,4,7,5647,40,46,11919,2504,499,31,89435,1750,21,35,94,9.2,11,84,6705
Alabama,Pike,Alabama_Pike,605,24,5,5.7,11,21,36,6.5,34,61,13,316,17,3498,14,10,22,4306,39,33,16868,4486,772,28,95385,2624,34,188,121,8.8,16,85,13661
Alabama,Randolph,Alabama_Randolph,486,24,5,5.8,9,23,35,6.5,35,37,19,126,38,2165,5,3,6,3445,32,29,13102,2377,447,27,91567,1337,23,45,111,9,13,87,8698
Alabama,Russell,Alabama_Russell,1118,25,5,5.7,11,22,39,6.9,36,59,15,453,33,5473,12,15,28,4599,39,40,33497,10367,1210,32,83844,6012,52,306,308,9.5,17,85,24000
Alabama,St. Clair,Alabama_St. Clair,1647,21,4.7,5.6,9,23,35,7.8,32,51,16,303,28,7465,14,27,23,4787,43,43,53455,13425,1986,15,108714,3685,69,261,426,9.7,11,87,39106
Alabama,Shelby,Alabama_Shelby,2392,16,3.7,4.8,8,15,30,8.2,24,79,27,599,12,15878,182,115,209,3863,46,47,137753,43715,4402,8,141334,8307,233,419,642,10.2,10,84,106989
Alabama,Sumter,Alabama_Sumter,283,29,5.5,5.9,14,23,44,5.9,40,29,8,136,23,1218,7,2,3,5634,53,33,6529,1350,331,42,67285,1349,12,57,69,9.3,19,83,4485
Alabama,Talladega,Alabama_Talladega,1751,26,5.2,5.9,11,25,37,6.8,36,42,30,543,29,6969,25,25,19,5218,39,38,45910,10598,2532,24,91543,6067,99,378,403,9.7,13,84,31257
Alabama,Tallapoosa,Alabama_Tallapoosa,868,24,5.1,5.9,14,24,39,7.3,37,63,11,165,35,3761,20,12,13,3370,38,46,23388,4160,1239,26,89447,3481,53,258,205,9.4,16,84,15269
Alabama,Tuscaloosa,Alabama_Tuscaloosa,3009,21,4.5,5.4,11,20,38,7.4,31,74,51,1537,20,17245,150,103,330,4916,45,45,117217,36110,6749,17,108795,15018,216,819,680,7.7,16,83,95478
Alabama,Walker,Alabama_Walker,1775,24,5.3,6.1,11,26,35,6.8,36,35,23,180,42,6674,26,31,68,6015,45,42,36445,8372,1446,23,91134,4123,91,292,367,9.5,12,84,24616
Alabama,Washington,Alabama_Washington,301,26,5.5,6.1,12,25,40,6.8,38,5,6,76,31,1781,2,2,5,4883,36,25,9571,1822,539,23,108474,931,26,41,93,9.2,10,87,5582
Alabama,Wilcox,Alabama_Wilcox,279,33,6,6.3,14,28,45,4.5,44,1,7,140,43,934,3,1,1,4597,38,23,5597,972,423,29,76546,1598,6,72,64,9,10,87,3170
Alabama,Winston,Alabama_Winston,512,26,5.5,6.2,10,26,38,7,38,76,6,65,41,2389,8,4,4,11433,39,39,13483,2598,475,23,82445,1384,23,24,115,8.8,10,76,9293
Alaska,Aleutians East,Alaska_Aleutians East,1436.113089,23,4,3.7,8.21113307,20,32,7.3,28,1,15.9187801,11,26.14933965,691,84.03515233,1,3,4043.9236,41.97693786,42.92699328,2292,513,100,13,122388,122,0,408.619451,408.1056964,8.018298555,14,26,2246
Alaska,Aleutians West,Alaska_Aleutians West,1436.113089,19,3.5,3.4,7,17,28,7.8,24,79,3,14,26.14933965,884,2,6,8,4043.9236,41.97693786,42.92699328,3863,978,169,6,146542,135,0,13,17,8.018298555,19,49,3673
Alaska,Anchorage,Alaska_Anchorage,3385,15,3.4,3.9,6,15,31,8.3,21,82,26,2771,20,27810,339,370,1752,2386,38,40,180790,64089,10971,9,155742,13949,337,3022,1295,5.4,17,75,150998
Alaska,Bethel,Alaska_Bethel,280,34,6.5,6,7,35,38,2.5,33,92,5,501,58,2755,20,26,484,4721,4,4,8213,1554,805,37,116592,1564,8,408.619451,192,8.018298555,61,24,6184
Alaska,Bristol Bay,Alaska_Bristol Bay,1436.113089,19,4.1,4.5,8.21113307,21,34,7.2,22,5,15.9187801,5,26.14933965,103,0,1,0,1924,38,34,526,134,31,12,138000,23,0,0,408.1056964,8.018298555,12,67,436
Alaska,Denali,Alaska_Denali,1436.113089,16,3.7,4.1,8.21113307,18,28,4.6,20,44,2,7,26.14933965,206,84.03515233,0,316.050034,4043.9236,41.97693786,42.92699328,1824,416,107,7,136133,29,0,408.619451,408.1056964,8.018298555,25,33,1713
Alaska,Dillingham,Alaska_Dillingham,87,28,5.4,5.3,6,31,36,4.5,28,47,1,85,39,678,13,5,42,5090,28,17,2511,647,143,27,106875,527,0,408.619451,43,8.018298555,40,30,1844
Alaska,Fairbanks North Star,Alaska_Fairbanks North Star,938,16,3.5,3.9,6,18,30,7.9,22,47,17,836,23,9282,85,138,675,1405,36,38,58299,21203,2841,8,142132,4384,93,408.619451,432,11.4,24,74,50271
Alaska,Haines,Alaska_Haines,1436.113089,16,3.7,4.2,8.21113307,18,30,7.1,20,89,2,6,26.14933965,252,7,2,6,832,18,44,1629,377,159,18,121789,44,0,4,11,8.018298555,20,48,930
Alaska,Hoonah-Angoon,Alaska_Hoonah-Angoon,1436.113089,21,4.4,4.7,8.21113307,23,35,4.8,24,55.14122635,15.9187801,593.7559524,37,323,84.03515233,0,6,4043.9236,41.97693786,42.92699328,1639,210,142,23,113333,62,0,408.619451,408.1056964,8.018298555,14,38,1005
Alaska,Juneau,Alaska_Juneau,333,15,3.3,3.9,5,15,28,8.7,17,100,5,130,10,3070,40,33,283,1922,40,50,21756,6814,1081,12,152422,1106,49,236,139,6.9,14,66,16473
Alaska,Kenai Peninsula,Alaska_Kenai Peninsula,808,18,3.9,4.3,5,20,27,7.4,22,59,8,155,18,6432,45,41,191,4043.9236,41.97693786,42.92699328,38279,8391,2393,15,131982,2501,93,408.619451,280,8.018298555,19,72,24031
Alaska,Ketchikan Gateway,Alaska_Ketchikan Gateway,163,18,3.8,4.2,7,20,32,8.3,22,56,2,79,18,1547,16,11,169,2121,40,45,9097,2226,627,10,144414,695,19,30,66,8.018298555,18,66,7028
Alaska,Kodiak Island,Alaska_Kodiak Island,131,16,3.4,3.8,5,17,29,7.5,23,99,15.9187801,43,16,2047,16,9,53,2227,27,42,7973,2952,380,8,128608,482,19,408.619451,46,8.018298555,23,59,7043
Alaska,Kusilvak,Alaska_Kusilvak,137,42,7.8,6.7,7,43,45,7.446606626,38,100,2,320,83,1197,84.03515233,77.17398427,10,7433,3,4,3179,456,445,43,71591,1120,3,408.619451,102,8.018298555,70,5,2194
Alaska,Lake and Peninsula,Alaska_Lake and Peninsula,1436.113089,27,5.5,5.3,5,29,37,3.4,28,17,15.9187801,12,26.14933965,266,0,0,3,4043.9236,41.97693786,42.92699328,633,204,65,23,90400,69,0,408.619451,22,8.018298555,26,23,499
Alaska,Matanuska-Susitna,Alaska_Matanuska-Susitna,1200,17,3.8,4.3,6,20,32,7.7,24,30,34,388,16,11867,55,53,291,2221,36,34,65351,17260,3990,10,140949,4859,85,408.619451,485,4.6,20,73,43011
Alaska,Nome,Alaska_Nome,169,28,5.7,5.5,6,31,42,5.6,29,46,7,247,59,1533,12,11,100,7545,34,5,4752,1082,411,23,124433,943,6,408.619451,101,8.018298555,51,25,3614
Alaska,North Slope,Alaska_North Slope,108,21,4.4,4.5,6,24,35,7.6,24,6,1,96,52,1192,2,7,11,4043.9236,41.97693786,42.92699328,5489,1545,189,14,139250,757,4,79,57,8.018298555,45,19,5070
Alaska,Northwest Arctic,Alaska_Northwest Arctic,112,31,6.1,5.7,8,34,39,3.6,29,1,0,219,67,1201,7,1,83,4043.9236,41.97693786,42.92699328,3593,674,352,25,139479,854,5,408.619451,88,8.018298555,49,17,2597
Alaska,Petersburg,Alaska_Petersburg,1436.113089,16,3.6,4.1,8.21113307,18,28,8.3,21,55.14122635,4,593.7559524,26.14933965,430,6,3,14,4043.9236,41.97693786,42.92699328,2215,399,123,9,126182,116,3,13,12,8.018298555,17,53,1561
Alaska,Prince of Wales-Hyder,Alaska_Prince of Wales-Hyder,115,23,4.8,5,5,26,37,6.4,25,55.14122635,3,15,20,945,9,3,37,4043.9236,41.97693786,42.92699328,4069,775,260,21,106769,317,10,408.619451,50,8.018298555,19,53,2664
Alaska,Sitka,Alaska_Sitka,94,16,3.6,4,5,17,29,8,20,82,15.9187801,29,8,951,19,12,210,3981,40,43,5830,1802,285,8,134100,359,12,9,33,8.018298555,16,64,4634
Alaska,Skagway,Alaska_Skagway,1436.113089,15,3.4,4,8.21113307,17,31,8.2,20,100,15.9187801,593.7559524,26.14933965,112,0,0,1,983,31,27,930,249,130,5,114400,39,0,4,408.1056964,8.018298555,10,40,804
Alaska,Southeast Fairbanks,Alaska_Southeast Fairbanks,100,19,4,4.3,4,21,32,7,23,24,2,11,32,1044,5,4,13,1710,24,27,4201,937,217,15,123950,250,4,408.619451,33,8.018298555,21,67,2665
Alaska,Valdez-Cordova,Alaska_Valdez-Cordova,132,16,3.5,4,4,17,31,7.6,20,64,6,39,13,1151,12,4,22,4043.9236,41.97693786,42.92699328,6276,1678,395,10,128479,427,15,20,53,8.018298555,14,67,4764
Alaska,Wrangell,Alaska_Wrangell,1436.113089,19,4.1,4.6,8.21113307,21,31,7.7,22,100,15.9187801,593.7559524,26.14933965,344,3,1,60,4043.9236,41.97693786,42.92699328,1657,316,83,13,121052,106,0,0,17,8.018298555,11,70,1011
Alaska,Yakutat,Alaska_Yakutat,1436.113089,21,4.3,4.5,8.21113307,23,34,8.5,23,70,15.9187801,5,26.14933965,83,0,0,2,4043.9236,41.97693786,42.92699328,404,137,22,24,106167,7,0,408.619451,408.1056964,8.018298555,15,43,294
Alaska,Yukon-Koyukuk,Alaska_Yukon-Koyukuk,98,29,5.7,5.5,5,31,38,2.2,27,24,1,78,31,864,1,2,10,4043.9236,35,31,2990,574,280,28,87333,543,0,408.619451,67,8.018298555,50,25,2130
Arizona,Apache,Arizona_Apache,1620,31,6.6,6.5,8,24,37,2.7,29,16,43,547,30,12371,31,51,75,4169,26,40,37148,9255,2581,44,75723,7354,22,79,732,2.5,29,77,18720
Arizona,Cochise,Arizona_Cochise,1961,22,4.2,4.5,8,18,34,6.5,27,57,31,482,30,10599,75,82,156,2878,36,32,78362,19657,3627,21,99217,7877,104,366,579,5.5,14,79,47285
Arizona,Coconino,Arizona_Coconino,1708,18,4.3,4.8,8,18,28,6.7,21,77,54,1126,14,17084,116,117,316,2134,34,38,76717,25277,7295,17,114841,9220,139,498,799,5.9,24,70,64472
Arizona,Gila,Arizona_Gila,1274,22,4.7,5.1,10,20,31,6.3,27,82,15,223,44,5535,22,30,40,2587,34,39,34677,5223,1621,26,92527,2962,46,303,438,5.8,17,78,18860
Arizona,Graham,Arizona_Graham,495,23,4.6,4.8,8,17,37,6.4,30,45,13,189,36,3591,18,24,16,1373,37,29,20527,5541,1008,16,97064,2502,15,36,159,5.3,17,78,13181
Arizona,Greenlee,Arizona_Greenlee,101,21,4.1,4.4,8,15,36,7.1,27,45,3,34,38,640,5,2,1,2309,28,27,4872,1372,244,9,106090,561,4,4,37,5.2,8,84,4011
Arizona,La Paz,Arizona_La Paz,528,26,5,5.1,7,20,37,4.6,32,35,11,74,44,2616,6,10,18,3376,26,29,13355,1374,636,26,70208,1407,11,50,182,5.1,16,81,6095
Arizona,Maricopa,Arizona_Maricopa,48839,18,3.8,4.3,7,14,31,8,25,89,547,28375,21,493829,3161,3128,7168,2691,42,48,2609466,812889,172361,16,131224,260595,2382,17044,18180,10.1,18,74,2100872
Arizona,Mohave,Arizona_Mohave,5100,21,4.5,5,7,21,32,5.7,31,54,56,537,27,19205,114,91,164,3308,40,39,140182,20919,8854,26,89697,11081,113,445,1358,6.3,16,78,72712
Arizona,Navajo,Arizona_Navajo,2303,26,5.7,5.8,9,21,38,4.2,28,55,41,804,37,15219,64,71,103,3083,29,36,60298,13252,4097,32,88035,10334,75,304,907,5.6,24,75,33939
Arizona,Pima,Arizona_Pima,14242,20,4,4.3,8,14,31,7.4,23,84,164,6677,20,107748,915,687,2146,2609,47,48,622956,171504,38308,20,109573,63886,659,4761,5105,5.6,18,75,448553
Arizona,Pinal,Arizona_Pinal,5589,20,4.1,4.5,7,17,35,7.1,31,59,66,2038,24,43484,73,152,361,2448,41,44,271107,63001,14400,15,110678,23406,155,884,1557,12.7,15,77,164454
Arizona,Santa Cruz,Arizona_Santa Cruz,487,29,4.8,4.5,7,15,37,6.2,32,57,4,244,30,6241,20,12,18,1727,35,34,23100,5819,2220,26,88404,3239,19,66,152,8.4,20,80,17598
Arizona,Yavapai,Arizona_Yavapai,3946,18,4,4.6,7,17,28,6.9,24,84,39,561,24,23125,136,161,489,1988,43,43,164901,25175,8007,15,100523,8126,189,527,1464,6.3,17,76,88217
Arizona,Yuma,Arizona_Yuma,2629,27,4.7,4.6,6,15,38,6.3,30,82,25,1147,35,28673,101,63,133,2772,36,39,100469,28965,16810,21,93692,15999,88,678,718,8.7,19,79,81019
Arkansas,Arkansas,Arkansas_Arkansas,399,26,5.2,5.8,10,24,37,5.3,34,55,7,144,51,1338,9,9,20,5265,34,45,10629,2170,378,22,93345,1162,22,88,91,8.3,12,87,7864
Arkansas,Ashley,Arkansas_Ashley,422,27,5.4,5.8,11,24,39,6.7,36,37,7,120,38,1710,8,8,15,6070,34,43,11586,2118,668,24,87537,1144,30,67,88,8.1,13,84,7284
Arkansas,Baxter,Arkansas_Baxter,870,21,4.9,5.7,7,22,32,7.1,28,46,12,85,31,2924,34,22,122,4224,47,49,28449,4930,981,24,80875,1454,39,75,206,8.7,11,81,15091
Arkansas,Benton,Arkansas_Benton,2877,20,4.3,4.9,7,16,30,7.9,27,74,34,918,25,26888,168,122,665,2718,44,53,160716,51204,6231,13,133233,12830,242,662,802,10.1,12,83,131630
Arkansas,Boone,Arkansas_Boone,647,23,5.1,5.8,7,23,32,6.8,34,49,6,97,33,2919,29,21,59,3940,38,45,23191,5134,830,20,89360,1471,42,206,157,8.5,12,83,15877
Arkansas,Bradley,Arkansas_Bradley,213,28,5.4,5.6,11,23,38,6.4,37,65,5,52,35,1114,6,4,6,5883,35,48,6268,1199,256,28,84089,841,14,29,55,9.5,14,85,4104
Arkansas,Calhoun,Arkansas_Calhoun,133,25,5.2,5.8,9,23,39,5.7,34,4,2,23,26,372,1,77.17398427,316.050034,4591,40,33,3168,594,125,22,91969,241,6,11,34,9.6,11,90,2085
Arkansas,Carroll,Arkansas_Carroll,555,24,4.9,5.4,7,20,34,7.4,33,45,18,73,42,3225,16,8,26,3147,35,45,17142,2447,720,21,89864,734,36,94,146,8.6,14,79,11639
Arkansas,Chicot,Arkansas_Chicot,232,32,5.9,5.9,13,25,45,5.1,39,27,5,82,46,678,7,5,60,9699,40,29,5697,1058,336,37,72915,973,10,41,49,9.1,15,84,3280
Arkansas,Clark,Arkansas_Clark,367,23,4.9,5.5,9,21,40,6.5,32,54,13,178,17,1471,10,11,69,3332,41,46,11592,2489,549,22,84958,1425,32,75,70,9.7,13,77,10127
Arkansas,Clay,Arkansas_Clay,330,26,5.6,6.1,7,25,38,6.1,35,29,5,37,50,1131,2,7,15,3297,33,32,8740,1867,333,24,76165,932,23,33,88,8.9,12,81,6082
Arkansas,Cleburne,Arkansas_Cleburne,509,22,5,5.7,8,24,36,7,32,24,13,46,38,1897,15,10,29,3121,40,37,16219,2170,697,21,87223,1016,39,94,139,9.1,10,85,9882
Arkansas,Cleveland,Arkansas_Cleveland,165,24,5.3,5.9,9,24,39,6.8,35,1,2,21,24,550,84.03515233,77.17398427,316.050034,6375,37,43,5142,969,195,19,92408,504,5,8,39,9.4,8,87,3063
Arkansas,Columbia,Arkansas_Columbia,436,27,5.4,5.9,11,24,43,6.5,37,43,7,223,25,1678,14,10,45,4065,38,47,12678,2967,620,26,80889,1319,27,76,89,9.9,15,85,8790
Arkansas,Conway,Arkansas_Conway,377,25,5.2,5.8,9,23,35,6.3,32,28,9,93,38,1603,14,9,59,3347,34,31,12614,2523,504,23,90384,1237,28,45,84,9.7,11,79,8910
Arkansas,Craighead,Arkansas_Craighead,1515,23,4.8,5.5,10,22,40,6.8,33,56,24,930,31,9347,130,84,455,4587,44,53,62777,19158,2972,23,101178,8366,96,450,382,9.3,15,84,50002
